消防栓编号,施工地址或工程编号,工程编号,安装日期,所属公司,消防栓口径,样式,本点号,地面高程,横坐标,纵坐标,管理单位,所属区县,录入人员,录入时间,目前状况,备注,设备类别,关键字,设备类型,埋设深度,管顶高程,材质,所在道路
1876, ,,,,100,,J2003W0022GX4,2.863,512078.581,2549003.05,,禅城区,,,, ,XHS,5732969,消防栓,0.5,2.363, ,市东上路城区卫生防疫北侧                                    
1802, ,,2002/7/11,,0,,Jdf05663,0,505568.784,2550240.713,,禅城区,,,,消防栓,XHS,5732970, ,0,3.28, ,                                                            
1942, ,,2003/5/18,,0,,Jt0737,0,510147.243,2545624.408,,禅城区,,,,消防栓,XHS,5732971, ,0,2.83, ,                                                            
2012, ,,2003/4/25,,0,,Jt1517,0,509856.542,2544082.5,,禅城区,,,,消防栓,XHS,5732973, ,0,2.4, ,                                                            
2039, ,,2004/2/25,,100,,J2004YA11GX51,3.905,511619.672,2550108.607,,禅城区,,,,消防栓,XHS,5732974,消防栓,-0.7,4.605, ,文沙路堤                                                    
1984, ,,2001/6/1,,0,,Jzq03991,0,511838.53,2548909.815,,禅城区,,,,消防栓,XHS,5732975, ,0,2.21, ,                                                            
733, ,,,,100,,J68363111132,4.021,509446.484,2545305.4,,禅城区,,,, ,XHS,5732977,消防栓,0,4.021, ,                                                            
75, ,,,,100,,J672602J44,4.944,502193.087,2542966.459,,南庄区,,,,,XHS,5937622,消防栓,-0.75,5.694, ,                                                            
76, ,,,,100,,J671601J19,4.731,502045.843,2542876.399,,南庄区,,,,,XHS,5937623,消防栓,-0.75,5.481, ,                                                            
77, ,,,,100,,J671600J13,5.027,501808.81,2542788.682,,南庄区,,,,,XHS,5937624,消防栓,-0.75,5.777, ,                                                            
78, ,,,,100,,J671600J43,5.07,501894.35,2542855.264,,南庄区,,,,,XHS,5937625,消防栓,-0.75,5.82, ,                                                            
80, ,,,,100,,J671600J65,4.916,501664.258,2542734.14,,南庄区,,,,,XHS,5937627,消防栓,-0.75,5.666, ,                                                            
81, ,,,,100,,J671599J11,4.97,501524.176,2542683.104,,南庄区,,,,,XHS,5937628,消防栓,-0.75,5.72, ,                                                            
82, ,,,,100,,J670598J18,6.413,501171.7,2542606.944,,南庄区,,,,,XHS,5937629,消防栓,-0.7,7.113, ,                                                            
503,N2009-南庄-0087,,,,100,,JN2009NZ0087GX8,3.35,503556.33,2544770.25,,南庄区,,,,,XHS,5938054,消放栓,-0.75,4.1, ,                                                            
504,N2008-复测-0003,,,,100,,JN2008FC0003G13,5.02,500750.13,2541000.49,,南庄区,,,,,XHS,5938055,消放栓,-0.75,5.77, ,                                                            
505,N2007-基建-0006,,,,100,,JN2007JJ0006G16,9.14,501175.71,2541942.79,,南庄区,,,,,XHS,5938056,消防栓,-0.75,9.89, ,                                                            
506,N2008-基建-0015,,,,100,,JN2008JJ0015G22,9.4,501178.21,2542289.04,,南庄区,,,,,XHS,5938057,消防栓,-0.7,10.1, ,                                                            
507,N2009-南庄-0022,,,,100,,JN2009NZ0022GX17,8.36,500060.21,2542211.06,,南庄区,,,,,XHS,5938058,消防栓,-0.7,9.06, ,                                                            
508,N2009-南庄-0022,,,,100,,JN2009NZ0022GX24,3.85,500118.05,2542298,,南庄区,,,,,XHS,5938059,消防栓,-0.7,4.55, ,                                                            
509,N2006-基建-0011,,,,100,,JN2006JJ0011GX11,7.998,500388.128,2541944.087,,南庄区,,,,,XHS,5938060,消防栓,-0.7,8.698, ,                                                            
511,N2006-基建-0011,,,,100,,JN2006JJ0011GX57,5.13,500220.01,2541567.115,,南庄区,,,,,XHS,5938062,消防栓,-0.7,5.83, ,                                                            
512,N2009NZ0303,,,,100,,JN2009NZ0303GX7,2.884,500050.476,2546556.03,,南庄区,,,,,XHS,5938063,消防栓,0.7,2.184, ,                                                            
514,N2009-基建-0007,,,,100,,JN2009JJ0007GX12,3.17,498829.62,2545235.3,,南庄区,,,,,XHS,5938064,消防栓,-0.7,3.87, ,                                                            
516,N2009-基建-0007,,,,100,,JN2009JJ0007GX51,3.11,498726.02,2545783.45,,南庄区,,,,,XHS,5938065,消防栓,-0.7,3.81, ,                                                            
517,N2008-南庄-0368,,,,100,,JN2008NZ0368GX33,3.79,499620.47,2544984.63,,南庄区,,,,,XHS,5938066,消防栓,-1,3.51, ,                                                            
555, ,,,,50,,J697634B5960,4.377,510181.631,2548095.841,,禅城区,,,, ,XHS,5731585,消防栓,0,4.377, ,圣堂七巷21号门口                                            
512, ,,,,100,,J691632B44507,3.387,509638.832,2546841.185,,禅城区,,,, ,XHS,5731603,消防栓,0,3.387, ,外贸新村16号西北侧                                          
467, ,,,,100,,J695636B3650,3.137,510646.087,2547660.887,,禅城区,,,, ,XHS,5731618,消防栓,0,3.137, ,祖庙路58号东侧                                              
572, ,,,,100,,J70063264538,3.939,509669.168,2548541.684,,禅城区,,,, ,XHS,5731629,消防栓,0,3.939, ,轻工路7街10号西侧                                           
130, ,,,,100,,J670594J34,5.376,500324.515,2542569.43,,南庄区,,,,,XHS,5937717,消防栓,-0.75,6.126, ,                                                            
